gender,age,survey_score,days_member,days_last_visit
M,46,3,164,32
M,44,2,30,28
F,29,8,73,0
M,49,3,247,39
M,33,8,256,4
F,44,3,67,29
M,32,8,30,1
F,50,3,243,52
M,36,8,151,11
F,24,8,93,4
M,57,2,252,112
F,33,8,267,7
M,55,2,228,70
M,27,8,167,2
M,45,2,219,57
F,46,3,30,30
M,24,8,286,3
M,24,7,207,0
M,43,3,125,29
M,32,8,209,1
F,41,3,159,48
F,33,8,337,14
F,35,8,254,6
M,62,2,164,94
M,38,2,210,56
F,61,1,293,79
F,39,9,303,1
M,48,3,288,20
M,39,3,116,10
M,45,3,30,30
M,60,2,187,135
M,31,8,69,8
F,50,3,302,1
M,35,7,283,8
M,65,2,314,71
M,18,7,147,1
F,25,8,210,3
F,33,8,363,12
F,48,3,348,29
M,31,8,240,11
M,59,2,362,117
M,46,3,52,25
F,34,9,336,3
M,56,2,341,155
F,45,3,74,37
F,50,2,218,47
M,34,8,193,14
M,25,9,280,3
M,38,8,176,10
F,49,2,165,26
F,41,3,85,46
F,21,8,70,3
F,35,8,326,10
F,22,9,30,0
F,36,3,139,36
M,32,8,217,4
F,27,7,94,3
M,56,2,123,70
M,23,8,265,1
M,30,9,359,8
M,29,7,202,3
M,45,3,275,49
M,32,8,218,11
M,30,7,125,2
F,58,3,182,58
M,30,7,92,20
F,45,2,201,60
M,20,8,205,3
F,27,8,177,0
M,42,3,230,33
F,50,3,182,28
F,35,9,223,19
M,59,3,331,95
M,46,3,304,40
M,49,3,361,2
F,33,9,175,9
F,43,3,66,57
M,37,3,269,43
M,21,8,146,2
M,41,3,30,30
F,39,2,293,25
F,35,7,124,8
M,45,2,173,56
M,59,1,245,60
F,56,2,111,57
F,37,8,329,18
M,53,2,30,30
M,31,7,328,11
M,33,7,255,10
M,54,2,175,80
F,55,1,255,66
M,62,1,30,30
M,60,2,46,46
F,56,1,363,115
F,36,7,265,16
M,53,3,221,79
F,64,2,247,138
F,59,1,131,64
M,26,8,262,4
F,50,3,237,50
F,49,3,94,53
F,27,8,90,1
F,24,8,167,1
M,54,2,362,84
F,31,8,88,0
M,39,2,134,39
F,33,8,44,12
M,42,3,300,21
M,40,3,145,30
F,49,2,189,38
M,63,2,334,108
F,25,9,260,1
M,34,10,224,18
F,41,3,281,60
M,50,3,119,46
M,44,3,30,18
M,33,8,187,23
F,59,1,204,68
M,34,9,342,17
F,62,3,315,112
F,25,8,183,0
F,40,2,130,43
M,33,8,258,1
M,33,8,359,8
M,33,9,114,19
F,62,1,143,55
F,23,7,248,2
M,60,1,263,154
M,44,3,110,17
M,44,3,83,63
M,34,8,70,21
M,39,3,61,27
F,45,3,211,18
M,55,2,182,58
F,39,9,364,2
F,56,1,257,86
M,33,9,184,7
F,34,9,187,0
M,31,7,303,1
F,48,3,121,58
M,48,3,252,39
M,21,8,250,2
M,21,7,113,4
M,61,2,271,69
F,39,2,355,50
M,45,2,81,18
M,46,4,170,48
M,48,2,42,23
M,53,2,247,167
M,30,7,180,13
F,25,8,80,1
M,22,8,33,3
M,65,2,348,74
F,42,3,91,37
M,37,8,277,10
F,24,8,364,1
M,34,7,129,19
F,18,8,146,0
M,42,3,121,65
M,60,1,254,140
M,32,8,359,7
F,35,8,247,13
F,25,8,150,2
F,47,3,30,30
M,37,3,71,49
F,36,7,364,10
M,64,1,276,34
F,43,3,30,8
F,34,9,264,7
F,55,2,221,43
F,43,3,266,34
M,32,8,173,8
M,63,2,194,60
F,29,8,30,4
M,35,8,260,11
M,36,7,152,13
M,24,8,180,4
F,30,8,80,8
M,32,8,30,10
M,43,2,126,41
M,46,2,152,0
F,46,3,251,16
F,39,3,138,58
M,58,2,220,58
F,44,2,190,40
M,52,2,30,30
M,40,3,155,70
F,35,7,303,19
M,57,3,362,54
M,62,1,310,97
F,44,3,92,53
M,65,1,120,120
M,44,2,135,36
M,35,7,358,6
F,60,2,30,30
F,28,8,178,4
F,45,3,266,58
M,25,7,128,2
F,34,7,222,7
F,45,4,30,30
M,46,3,30,30
F,24,9,170,3
F,45,2,92,51
F,46,3,235,18
F,32,8,161,16
F,50,2,306,53
F,54,1,180,54
F,37,3,164,41
F,57,2,363,58
M,39,2,30,25
F,33,8,141,14
F,58,3,244,65
M,35,7,142,16
F,32,8,257,13
M,31,8,359,2
F,41,2,30,30
M,44,3,36,36
M,60,2,117,44
M,44,3,30,24
M,43,3,240,21
F,20,8,112,0
M,45,3,64,35
M,59,2,30,30
F,65,1,222,115
M,20,8,133,1
F,36,9,50,9
F,35,8,215,17
F,52,2,224,44
M,29,8,93,4
F,58,2,131,98
F,34,7,109,8
F,52,1,284,97
M,38,4,305,58
F,21,8,95,2
F,42,4,235,28
M,50,3,31,13
M,44,4,89,29
M,41,3,110,31
M,37,6,311,9
M,58,1,30,30
M,36,3,322,22
M,26,9,320,3
F,34,8,227,17
M,20,8,363,1
M,57,2,109,109
M,46,4,200,52
M,44,2,164,17
F,47,3,276,52
M,26,7,141,0
M,25,8,262,4
M,65,1,362,63
M,57,2,90,22
M,31,9,105,12
M,31,9,121,14
M,38,4,213,47
F,33,9,228,14
F,40,3,94,49
F,39,9,247,4
F,24,9,220,2
M,34,8,348,1
F,52,1,79,79
M,35,8,182,7
F,40,3,30,30
M,30,9,259,21
M,37,7,290,1
F,23,8,184,1
M,31,8,113,10
M,45,3,230,39
M,24,8,217,0
F,22,6,321,1
M,46,3,41,9
F,34,8,315,11
M,24,8,156,2
F,59,1,227,64
M,41,3,30,30
F,42,3,30,28
F,33,9,133,7
F,23,7,137,2
M,43,3,42,42
F,47,3,30,30
F,32,7,278,3
M,22,8,102,0
F,56,1,123,79
M,59,1,141,138
M,57,1,218,63
M,23,7,154,3
F,32,7,349,11
F,32,9,207,11
M,46,3,77,10
M,45,4,75,36
M,56,2,219,132
M,47,3,58,26
M,26,8,142,0
M,43,3,125,23
M,46,2,207,48
F,34,8,259,5
F,38,3,365,42
F,42,3,81,50
M,54,2,144,115
M,38,4,78,44
M,58,3,109,58
F,54,1,363,30
M,33,9,132,12
F,46,4,62,31
F,39,2,75,48
F,55,3,198,128
M,23,8,49,2
F,35,7,364,8
F,45,3,160,33
F,54,1,178,34
F,46,3,58,32
F,41,3,220,16
F,32,9,70,13
M,20,8,303,2
F,41,4,269,29
M,24,9,30,5
F,35,7,141,2
F,39,3,285,21
M,56,2,150,147
M,58,2,46,41
F,41,3,105,0
M,44,3,88,50
F,62,2,115,101
F,62,1,30,30
M,39,4,361,51
F,45,3,109,27
M,41,2,229,14
F,35,9,242,12
M,22,7,253,2
M,39,3,277,67
M,36,9,130,1
F,34,7,83,20
M,35,8,197,10
M,36,8,163,15
F,37,8,156,14
M,24,8,95,3
F,59,2,193,89
M,42,2,188,36
F,28,8,135,1
F,61,1,181,46
F,30,8,216,14
F,60,1,103,100
M,32,7,218,26
F,49,3,204,18
M,26,8,87,4
M,40,3,97,17
F,32,9,192,11
F,38,3,158,0
F,27,8,189,1
M,46,3,204,54
M,43,4,309,49
M,35,8,230,22
M,40,3,175,59
M,30,8,153,10
M,50,4,78,32
M,46,3,219,33
M,31,8,97,10
F,46,3,124,23
F,36,7,149,4
F,57,2,30,30
M,32,8,97,14
F,57,1,180,60
M,34,9,144,11
F,59,2,247,80
F,33,9,334,7
M,41,3,178,23
F,41,2,30,30
M,59,1,217,67
M,26,8,210,3
M,31,8,203,17
F,45,3,187,28
F,55,1,36,36
F,36,8,271,3
F,47,3,249,41
F,48,3,202,34
M,30,7,359,3
M,59,2,81,81
F,42,2,148,44
F,38,3,98,26
M,46,4,183,28
M,45,3,247,54
F,23,8,224,4
F,27,8,263,0
F,44,3,245,21
M,62,2,39,39
M,18,8,278,0
F,36,9,218,3
M,35,10,121,5
M,40,4,218,36
M,54,2,286,8
M,40,3,165,33
M,54,2,30,30
M,43,3,182,56
F,46,3,155,42
F,30,7,148,21
F,32,8,236,11
F,55,2,113,106
M,39,3,281,24
M,36,9,86,15
M,41,2,273,40
F,37,3,30,17
F,55,2,213,35
M,34,7,359,24
M,51,1,60,60
M,44,2,30,30
M,41,4,152,38
F,57,1,142,142
F,41,3,84,45
F,26,10,30,0
M,46,3,152,3
F,45,3,112,45
F,46,3,365,27
M,47,3,299,10
M,59,1,55,32
M,48,3,238,48
M,21,8,122,4
M,39,3,135,41
M,65,1,202,62
M,45,3,108,53
M,63,2,238,122
F,39,2,30,30
F,54,2,132,43
F,34,8,55,10
F,65,2,256,96
M,25,8,30,3
M,43,3,308,32
F,22,7,188,3
M,30,7,76,3
F,24,9,107,5
F,29,7,354,1
F,25,7,215,0
M,23,6,210,2
M,40,3,221,47
M,44,3,338,12
F,42,3,347,61
M,28,9,156,1
F,45,3,221,17
M,44,3,70,9
M,47,3,241,26
F,42,4,84,40
M,33,7,219,15
M,40,4,30,21
F,34,8,108,6
M,53,2,162,97
F,37,8,30,11
F,32,8,142,13
M,54,1,209,115
F,27,9,125,2
F,24,7,97,6
F,64,1,162,95
M,47,4,95,21
F,50,3,124,56
F,43,4,83,26
M,21,8,217,2
F,24,8,30,4
M,36,9,30,10
M,42,4,120,26
M,59,2,108,108
F,58,2,48,11
M,37,8,174,9
M,40,3,30,6
F,43,2,130,53
F,34,8,364,8
F,57,3,352,88
M,34,8,165,11
F,46,4,102,38
F,39,3,153,56
F,42,3,30,30
F,22,7,125,3
F,56,2,238,35
M,38,2,67,62
M,42,3,122,56
M,56,2,304,140
F,44,3,128,0
F,44,3,85,48
M,45,3,248,36
F,25,7,270,3
M,60,1,242,186
M,45,3,130,3
M,36,8,208,12
M,43,3,180,45
F,41,2,221,17
M,55,1,362,3
M,31,7,141,9
M,60,2,194,89
M,27,8,150,1
M,57,2,135,135
F,27,8,94,2
M,39,8,155,15
F,48,2,30,21
F,45,3,166,21
M,60,2,33,33
F,53,1,241,57
F,39,3,132,22
M,59,1,362,128
M,47,2,208,42
F,41,4,30,30
M,45,3,105,37
M,28,8,116,1
M,56,2,35,22
F,36,8,252,14
F,45,3,115,30
F,20,8,126,4
M,46,3,186,30
M,60,1,150,144
M,34,9,272,20
M,42,3,100,20
F,29,9,219,1
M,37,8,161,5
M,27,7,363,1
F,22,8,342,4
M,38,8,30,1
F,33,9,364,11
F,41,3,190,38
M,29,7,115,2
F,44,3,169,27
F,37,3,247,23
F,22,9,177,2
F,30,8,30,14
M,38,3,189,48
M,38,8,224,6
M,54,1,172,105
M,39,8,30,8
F,35,7,211,10
F,31,8,138,9
M,60,1,235,120
M,34,8,127,10
M,46,2,91,52
M,56,2,208,3
M,38,9,132,13
F,50,3,289,28
F,40,4,51,47
M,59,2,235,77
F,47,3,187,49
M,30,7,201,21
M,25,8,206,3
F,29,7,344,3
F,56,1,241,117
M,23,9,62,1
M,33,7,111,1
M,38,3,30,30
M,50,3,179,40
M,55,2,148,84
M,49,4,195,14
M,43,3,44,44
M,28,8,209,2
F,25,9,269,3
M,46,3,190,53
F,43,2,189,15
M,20,8,287,1
F,29,8,210,0
M,43,3,50,18
F,28,9,182,2
F,43,4,160,67
F,55,2,138,95
M,24,7,218,2
M,42,4,118,8
F,33,8,180,15
F,46,3,131,15
F,29,7,30,2
M,34,10,359,5
F,37,9,297,8
M,34,8,219,4
F,55,1,281,57
M,48,2,212,14
F,46,2,165,7
M,44,3,214,30
F,47,4,161,34
F,34,8,364,12
M,40,3,164,29
F,61,1,173,36
M,52,1,348,3
F,20,8,58,1
F,22,7,114,5
F,39,2,152,42
F,22,9,194,3
M,59,1,326,80
F,40,3,97,22
F,37,3,43,36
M,23,8,30,3
F,47,4,324,54
F,58,1,289,79
M,41,4,198,25
F,34,8,351,5
M,35,8,30,1
M,55,1,112,13
M,44,3,109,38
M,59,2,198,77
F,59,1,168,129
F,65,1,258,17
M,38,4,352,26
F,33,8,122,12
M,42,3,121,39
F,43,3,146,43
M,19,9,144,3
F,23,8,157,1
M,50,3,77,36
F,32,8,174,12
F,42,4,163,22
F,45,2,89,37
F,54,1,232,98
M,25,8,151,5
M,29,9,132,0
F,30,7,30,14
F,42,3,254,32
M,39,3,67,45
F,25,7,63,3
F,32,9,30,12
F,32,8,364,0
M,32,8,55,5
F,28,8,316,2
M,24,7,363,2
M,34,8,358,9
F,27,8,364,4
M,41,3,30,13
F,30,8,40,10
M,23,7,209,1
F,23,8,83,2
M,54,1,115,113
F,19,7,105,1
F,35,8,152,9
F,24,8,309,0
F,47,2,292,14
F,33,8,30,13
M,50,4,81,25
F,35,9,321,11
M,44,3,235,34
F,62,2,286,104
M,47,3,127,17
M,39,3,184,23
M,39,7,59,24
F,46,2,206,39
M,54,1,30,30
M,56,2,66,66
F,37,8,204,8
F,60,2,239,99
F,32,7,311,1
F,27,7,30,1
M,44,2,93,47
F,56,2,169,73
F,43,4,232,11
F,33,8,273,12
F,44,3,222,27
M,43,3,137,34
F,22,8,330,2
F,44,2,30,28
M,35,9,285,2
F,33,8,104,5
F,54,2,199,158
F,53,2,150,80
M,43,3,294,62
F,42,3,162,38
M,46,3,283,16
F,51,1,184,90
M,26,8,305,1
M,25,8,92,1
F,37,7,164,0
F,33,8,200,3
F,26,8,291,3
M,41,4,266,57
F,34,8,188,1
F,41,2,192,41
F,63,1,157,45
F,39,3,202,33
M,40,4,361,43
F,53,2,151,111
F,40,3,341,44
M,42,3,361,40
M,56,1,30,30
F,51,3,279,123
M,21,8,271,2
F,41,3,267,27
F,36,9,314,8
F,61,3,86,25
F,35,8,306,8
M,43,3,30,30
M,60,1,50,50
M,38,4,196,54
F,37,8,237,0
F,31,8,144,5
F,29,7,175,1
M,37,4,96,3
F,65,1,153,110
M,43,3,163,38
F,62,2,363,3
M,44,3,153,49
M,37,4,215,22
M,23,9,212,1
M,42,3,255,43
F,28,9,249,1
M,63,2,88,61
M,65,2,262,21
F,42,2,130,11
M,25,9,161,4
M,38,8,50,8
M,35,8,311,11
F,29,8,202,3
M,62,2,61,61
M,57,2,79,79
M,23,8,156,5
F,45,4,89,5
F,44,4,30,18
F,42,3,30,27
M,32,9,307,14
F,28,8,333,2
F,52,1,196,93
F,30,7,359,12
M,42,4,244,40
F,25,7,182,1
F,22,7,30,2
M,61,1,157,116
F,64,1,30,30
M,35,8,126,7
F,45,4,111,71
F,46,3,264,32
M,57,2,30,30
M,39,3,258,45
F,26,8,96,3
M,46,2,30,2
M,24,7,214,2
F,39,4,191,52
F,23,8,167,3
F,63,2,30,30
F,46,4,69,19
M,38,7,101,24
M,39,3,330,47
F,43,3,193,48
M,61,2,30,30
M,22,8,312,4
M,43,2,359,33
F,47,4,365,48
M,32,9,231,16
F,34,8,149,8
F,30,8,246,9
F,46,4,325,21
F,58,1,225,96
F,38,2,154,50
M,36,8,121,5
F,38,8,311,8
F,41,3,346,21
M,35,9,103,1
M,65,2,34,34
F,35,8,116,14
M,48,3,204,16
F,23,10,298,4
F,36,9,176,3
M,38,6,70,14
F,51,2,101,65
F,45,2,148,27
M,33,7,268,14
M,44,3,50,31
F,23,8,230,0
M,58,2,192,79
M,54,2,346,108
F,64,2,312,87
M,29,8,139,4
M,46,3,57,19
F,36,8,182,7
F,54,1,121,34
M,40,3,207,53
M,60,2,158,69
M,47,3,91,35
F,37,8,30,7
M,45,3,186,36
M,36,3,191,55
M,38,8,142,13
M,44,2,251,33
M,43,4,219,57
M,47,2,95,33
M,45,3,361,48
F,60,2,70,70
M,40,3,282,54
F,36,9,142,7
F,31,8,312,10
F,51,2,52,52
F,34,8,117,8
F,43,4,265,44
M,43,3,67,13
F,34,8,216,5
M,56,2,30,30
F,33,8,310,17
M,64,1,282,79
F,31,9,249,9
M,53,1,167,65
M,35,8,142,5
M,54,1,188,173
F,40,4,222,32
M,65,2,178,116
M,60,2,187,123
M,57,1,155,76
M,56,1,297,95
M,65,3,331,126
M,50,3,85,40
M,35,7,53,16
M,40,3,246,9
M,38,3,231,34
M,43,4,159,61
F,46,3,70,40
F,41,4,283,22
M,40,3,236,11
F,43,4,30,30
M,26,9,106,5
F,43,3,153,15
M,23,7,120,0
M,32,8,234,8
F,23,7,348,1
F,49,3,308,45
M,42,2,195,70
M,32,7,359,11
F,39,4,236,38
M,40,4,245,31
M,43,3,111,64
F,40,3,365,27
F,43,3,132,38
M,62,1,261,123
F,62,1,113,3
M,34,8,356,12
M,57,3,275,59
M,35,9,90,17
M,40,3,249,11
F,21,7,41,3
M,49,3,361,70
M,48,3,183,44
M,36,7,190,15
F,50,4,58,44
M,24,8,251,3
F,45,3,80,13
M,30,7,100,6
M,30,9,98,17
F,35,8,97,17
M,35,8,277,10
F,34,8,87,11
F,34,8,30,13
M,23,8,274,2
M,45,3,252,35
M,42,2,30,30
F,40,4,206,44
M,61,2,157,73
F,53,2,30,30
F,50,3,30,26
F,65,3,188,17
F,29,7,140,3
F,47,2,30,28
F,29,7,33,1
F,51,1,200,97
F,18,8,298,1
M,41,3,340,43
M,50,3,143,39
M,55,2,326,76
M,43,3,134,25
F,29,9,184,1
M,49,3,185,35
M,18,8,271,4
F,25,7,194,0
M,33,7,197,16
F,50,2,148,17
M,34,9,139,16
M,36,8,334,11
F,31,9,203,9
M,41,3,308,52
M,22,9,66,0
F,31,9,364,2
M,56,2,174,85
M,31,9,57,10
M,32,7,359,11
F,29,9,138,4
M,42,2,245,65
F,24,8,257,1
F,56,2,80,80
M,44,4,30,30
F,24,9,238,5
M,38,7,277,1
M,61,2,58,58
M,53,2,362,63
F,24,8,190,1
F,55,2,95,34
M,59,3,257,64
F,40,3,365,22
M,35,9,221,2
M,33,9,122,8
M,46,3,111,43
M,41,3,30,30
M,58,1,211,129
M,23,7,226,3
F,43,3,304,30
F,44,3,70,49
F,34,7,165,12
F,61,2,253,66
M,25,9,260,2
M,40,3,361,54
M,33,7,160,16
F,35,8,209,15
F,35,8,301,7
M,46,3,222,24
F,49,3,172,33
M,50,4,35,35
F,34,8,230,5
M,31,7,300,13
M,64,1,30,30
F,65,1,30,30
M,21,8,283,4
M,43,3,111,66
M,24,8,170,5
F,20,8,193,4
M,62,2,360,89
M,59,2,30,30
M,33,8,211,12
F,36,8,277,6
F,28,9,217,1
M,63,1,176,79
F,39,4,199,14
M,54,2,362,150
M,41,3,124,36
M,57,2,118,59
F,35,8,51,5
M,58,2,110,102
M,44,3,319,34
F,21,8,249,2
F,47,3,63,11
F,51,3,30,30
F,37,8,304,20
F,39,8,78,21
F,52,2,246,90
M,56,1,362,149
F,48,3,144,70
F,38,8,113,17
M,34,8,103,18
F,43,3,365,8
M,40,3,250,24
M,22,8,335,2
F,37,9,364,16
M,42,4,117,52
F,35,8,44,9
M,28,9,363,4
M,32,9,273,3
F,39,3,106,33
M,34,8,48,12
F,47,3,266,62
M,63,1,273,32
F,27,9,101,0
M,37,7,259,6
F,28,8,146,1
M,44,4,167,35
M,41,2,192,54
F,34,8,122,5
M,46,3,155,39
M,26,8,162,3
M,55,1,89,89
F,43,2,147,35
F,55,1,220,72
M,35,8,199,12
M,47,3,201,29
M,37,3,361,64
F,36,7,323,12
F,50,2,52,39
M,35,9,359,1
M,27,7,184,1
F,54,1,254,40
F,48,3,30,26
M,51,2,198,40
M,44,3,30,14
F,34,7,350,16
F,55,2,97,66
M,23,9,30,1
M,39,2,291,28
M,32,8,231,1
M,65,1,208,110
M,34,8,245,4
F,44,2,204,26
F,33,8,337,10
F,26,9,241,2
M,53,2,205,161
F,57,1,363,120
M,36,8,318,6
F,31,8,146,1
M,25,8,220,0
M,33,8,359,1
F,34,9,326,8
F,44,3,365,17
F,55,2,179,142
F,35,8,232,5
M,38,8,112,20
M,32,9,172,8
F,43,3,242,17
M,40,4,294,12
M,64,1,42,32
F,58,1,181,127
M,62,2,30,30
F,63,1,30,30
M,61,3,139,45
F,35,8,246,21
M,51,2,226,83
M,43,3,177,23
F,29,8,268,0
F,56,2,317,15
F,41,2,69,17
F,32,8,177,0
F,30,9,364,4
M,44,4,265,50
M,31,9,72,21
M,38,4,264,27
F,28,8,112,2
F,47,3,75,37
F,41,3,212,39
F,62,2,151,7
M,27,7,341,4
M,44,3,102,35
F,57,1,68,23
M,36,7,30,22
M,40,2,31,31
F,59,1,147,102
M,55,1,362,105
M,52,2,261,45
M,32,9,68,12
F,53,1,248,34
M,52,1,362,3
F,24,8,173,0
M,23,9,340,5
F,40,3,263,13
F,41,3,238,16
F,41,3,81,55
M,39,3,237,15
F,25,7,208,3
M,33,8,213,1
F,65,2,48,48
M,47,3,30,22
F,24,8,108,2
F,38,10,181,5
M,65,2,30,21
F,21,8,298,2
F,60,1,209,86
M,59,1,30,30
F,29,9,154,0
M,45,3,254,31
F,22,8,30,1
M,44,4,30,30
M,48,3,223,36
M,31,8,359,17
M,36,8,164,7
F,35,8,298,5
F,43,3,260,21
F,38,7,156,4
M,55,1,176,110
F,42,2,30,30
F,24,9,179,1
M,37,3,298,2
F,35,8,250,9
F,56,2,49,49
F,24,7,30,4
M,39,4,181,36
F,50,4,216,33
M,39,9,83,12
F,18,9,119,2
F,54,2,84,84
F,24,8,219,0
M,33,10,43,13
M,40,3,326,49
F,45,2,65,34
M,39,9,205,18
F,37,9,128,10
F,46,3,234,36
F,38,9,186,11
M,46,3,67,27
F,45,2,207,63
F,42,2,185,23
F,34,8,138,0
M,47,3,183,34
F,35,9,332,9
M,23,9,138,4
M,48,4,147,51
M,33,8,197,16
F,27,8,123,3
M,25,7,232,2
F,59,3,30,30
M,43,3,140,30
M,22,8,157,1
M,34,9,217,5
F,34,8,155,10
M,22,9,223,2
M,38,8,288,12
F,45,2,217,42
M,45,3,361,52
M,49,4,81,26
F,23,9,364,0
M,27,8,168,3
F,54,3,289,58
M,47,3,89,53
M,41,4,258,17
F,25,9,224,0
F,46,2,243,18
M,43,4,103,60
M,44,4,36,3
M,45,3,132,50
M,35,8,201,15
F,26,8,278,1
F,37,8,181,8
M,35,10,354,10
M,31,8,146,17
M,24,9,30,1
M,42,3,215,40
M,28,8,83,1
M,54,3,293,89
F,31,8,154,5
M,36,7,326,15
M,23,9,244,2
F,57,2,323,77
M,39,8,290,2
F,45,4,30,30
F,29,8,166,4
M,65,1,175,30
M,54,3,240,146
M,33,7,122,8
M,50,4,361,34
F,26,7,266,3
M,54,2,30,9
F,36,8,170,9
M,63,2,167,57
F,62,2,82,82
F,38,8,186,15
M,25,9,197,0
M,33,7,222,14
M,56,1,188,40
M,33,7,263,17
F,61,2,40,40
M,47,3,246,20
F,23,9,40,3
M,45,3,253,22
F,32,8,306,2
M,59,2,103,55
M,36,8,301,9
M,25,7,306,2
M,30,7,30,18
F,41,4,125,46
M,43,2,316,12
M,33,9,99,11
F,43,3,221,8
M,40,2,357,60
F,39,7,66,8
M,24,8,85,0
F,25,9,149,1
F,26,8,231,4
F,65,2,154,80
M,32,7,109,8
F,44,4,365,23
M,62,1,321,131
F,47,3,215,35
F,19,8,283,2
M,27,7,339,2
M,25,8,30,0
F,41,3,288,28
M,23,7,41,0
M,58,2,191,60
F,31,8,235,1
F,35,8,88,7
M,29,7,37,2
M,44,2,107,16
F,36,9,162,15
M,41,3,284,6
M,34,7,118,12
M,39,3,74,24
M,23,7,193,0
F,59,1,155,37
M,35,8,228,5
M,25,9,288,2
M,27,7,161,0
F,21,7,141,4
M,35,8,112,13
F,53,3,248,59
F,49,3,30,30
M,36,8,186,6
F,42,4,196,18
F,37,9,255,13
M,30,7,123,16
F,44,3,161,53
F,26,8,268,3
F,45,4,219,24
M,61,2,204,64
M,47,2,356,36
M,45,3,212,26
F,38,9,202,10
F,20,8,328,3
F,65,2,114,114
F,37,3,39,3
F,29,7,260,1
M,20,10,190,0
M,35,8,30,25
M,35,8,220,11
M,63,2,30,23
M,33,7,129,1
M,57,2,159,152
M,26,10,314,3
M,60,2,89,89
M,41,4,128,54
M,59,2,118,106
F,32,8,103,7
F,33,8,67,5
F,23,7,255,1
F,54,1,156,156
F,37,3,276,41
M,58,3,219,114
F,45,3,226,36
F,43,2,180,62
M,60,1,225,108
F,36,8,267,9
F,30,8,30,11
M,60,2,242,27
M,30,8,249,13
F,63,1,78,78
F,33,7,208,11
F,25,8,57,1
F,52,2,87,74
F,27,8,311,2
F,21,7,266,1
M,35,7,145,10
F,60,1,213,39
F,27,9,164,1
F,42,2,215,23
F,43,3,155,60
F,30,8,208,9
F,62,2,30,30
M,38,8,170,10
F,45,3,197,43
M,42,2,130,34
F,47,4,30,30
F,22,9,107,5
M,44,3,191,46
M,57,2,75,75
F,34,7,106,5
M,54,1,30,30
M,25,8,174,5
F,47,3,95,35
F,43,2,365,61
M,48,2,259,32
M,45,3,160,24
M,46,3,237,31
M,36,3,139,66
F,42,3,171,11
M,64,1,312,81
M,37,3,78,28
M,56,1,152,117
M,60,1,157,68
F,57,2,331,120
M,35,8,56,15
M,23,8,77,4
F,46,4,70,46
F,35,8,316,4
F,34,8,163,10
F,58,2,175,121
M,42,3,235,40
M,31,7,126,1
F,60,2,186,84
M,35,9,185,17
F,36,8,228,1
M,54,3,205,97
M,48,4,58,58
F,32,8,285,14
M,27,6,206,4
M,51,2,273,46
M,37,3,194,46
M,48,4,177,44
F,60,1,178,111
M,51,2,328,57
F,24,9,276,4
F,33,7,296,9
F,36,8,233,10
M,39,8,327,14
M,62,2,135,135
M,42,4,201,20
M,48,3,233,23
F,46,3,227,52
M,61,1,120,120
M,47,3,205,42
F,43,3,336,33
M,42,3,284,37
M,33,9,238,11
F,55,2,153,67
M,47,3,124,30
F,61,2,257,3
F,63,1,209,162
F,47,2,156,26
F,28,8,101,1
M,42,3,253,35
F,26,8,279,0
M,36,3,241,16
M,63,1,88,50
F,25,8,282,3
M,62,1,169,107
M,62,1,76,76
M,46,3,30,29
F,38,3,49,30
F,52,1,136,103
M,51,2,137,9
M,48,4,30,30
M,58,1,113,107
M,39,3,186,63
F,51,2,197,37
F,26,8,98,0
M,61,1,326,101
M,31,8,59,6
M,34,8,30,13
M,36,7,180,7
F,25,7,146,0
M,40,2,91,49
F,22,7,102,1
M,40,2,203,33
F,31,9,168,14
M,34,8,213,13
M,35,8,169,6
F,51,2,180,90
M,36,8,172,12
F,58,1,66,66
M,57,2,258,107
F,44,3,247,0
F,60,1,132,132
M,33,8,215,8
F,54,1,363,81
M,43,3,314,20
M,56,2,30,30
M,61,1,186,29
F,44,3,233,33
M,35,8,107,15
F,42,3,149,33
M,39,8,200,15
F,57,2,310,129
F,36,9,115,6
M,58,2,256,131
F,48,3,200,38
M,35,9,69,17
F,36,8,333,17
M,31,7,158,8
F,31,8,173,21
F,25,9,184,2
F,52,2,293,88
F,48,3,138,29
F,26,9,234,1
F,61,2,248,26
M,37,4,112,41
M,35,8,186,19
F,44,4,188,23
M,22,8,30,0
F,62,1,241,95
M,44,2,283,30
F,43,3,111,43
F,24,8,250,1
F,46,3,40,8
F,48,3,333,31
M,28,8,30,4
F,53,3,73,73
M,35,7,117,9
M,24,8,363,0
M,59,2,124,110
M,41,4,274,48
M,28,8,237,4
M,30,8,144,1
F,33,8,201,8
F,50,2,30,23
M,46,3,244,46
M,30,8,243,4
F,58,1,124,87
F,50,4,154,57
M,26,8,183,4
F,27,9,248,3
M,38,7,233,17
F,34,9,295,8
M,36,3,192,29
F,19,7,30,0
M,31,7,299,9
M,30,8,307,12
M,40,3,155,35
F,56,1,285,107
M,29,8,363,1
M,41,4,201,53
F,49,2,365,37
F,57,2,246,95
M,38,8,262,4
M,65,3,318,101
F,24,9,186,2
F,41,3,258,31
F,46,3,87,30
F,35,7,112,8
M,25,8,125,2
M,35,8,109,7
F,35,8,162,9
F,18,8,265,3
M,39,3,87,51
M,62,2,109,60
F,36,3,306,27
F,48,3,102,44
M,56,2,231,160
F,41,2,132,38
F,41,4,30,30
M,28,8,259,4
F,18,8,344,4
M,35,8,268,9
F,55,2,310,129
M,41,2,30,30
M,27,7,179,2
